UserID,InstallationDate,InstallationTime,ChangeOutMeterNo,ChangeOutMeterkWh,InstalledMeterNo,InstalledEndpointSN,InstalledMeterkWh,ServiceLatitude,ServiceLongitude,ServiceLocation,ServiceTimeZone,TenantGroup
rompkoh,01/16/25,18:20,400565EE,,400565EE,1074095598,,,,METERFARM,-3:00/NoDST,
rompkoh,01/16/25,18:20,40056596,,40056596,1074095510,,,,METERFARM,-3:00/NoDST,
rompkoh,01/16/25,18:20,40056591,,40056591,1074095505,,,,METERFARM,-3:00/NoDST,
rompkoh,01/16/25,18:20,4005957B,,4005957B,1074107771,,,,METERFARM,-3:00/NoDST,
rompkoh,01/16/25,18:20,400565B0,,400565B0,1074095536,,,,METERFARM,-3:00/NoDST,
rompkoh,01/16/25,18:20,40056589,,40056589,1074095497,,,,METERFARM,-3:00/NoDST,
rompkoh,01/16/25,18:20,40077705,,40077705,1074231045,,,,METERFARM,-3:00/NoDST,
rompkoh,01/16/25,18:20,40077702,,40077702,1074231042,,,,METERFARM,-3:00/NoDST,
rompkoh,01/16/25,18:20,400565AD,,400565AD,1074095533,,,,METERFARM,-3:00/NoDST,
rompkoh,01/16/25,18:20,4007770C,,4007770C,1074231052,,,,METERFARM,-3:00/NoDST,
rompkoh,01/16/25,18:20,400565ED,,400565ED,1074095597,,,,METERFARM,-3:00/NoDST,
rompkoh,01/16/25,18:20,4007770B,,4007770B,1074231051,,,,METERFARM,-3:00/NoDST,
rompkoh,01/16/25,18:20,40059560,,40059560,1074107744,,,,METERFARM,-3:00/NoDST,
rompkoh,01/16/25,18:20,4007770A,,4007770A,1074231050,,,,METERFARM,-3:00/NoDST,
rompkoh,01/16/25,18:20,4005659E,,4005659E,1074095518,,,,METERFARM,-3:00/NoDST,
rompkoh,01/16/25,18:20,400565F5,,400565F5,1074095605,,,,METERFARM,-3:00/NoDST,
rompkoh,01/16/25,18:20,40077700,,40077700,1074231040,,,,METERFARM,-3:00/NoDST,
rompkoh,01/16/25,18:20,400565A0,,400565A0,1074095520,,,,METERFARM,-3:00/NoDST,
rompkoh,01/16/25,18:20,40077709,,40077709,1074231049,,,,METERFARM,-3:00/NoDST,
rompkoh,01/16/25,18:20,40077701,,40077701,1074231041,,,,METERFARM,-3:00/NoDST,
rompkoh,01/16/25,18:20,40077708,,40077708,1074231048,,,,METERFARM,-3:00/NoDST,
rompkoh,01/16/25,18:20,4007770D,,4007770D,1074231053,,,,METERFARM,-3:00/NoDST,
rompkoh,01/16/25,18:20,400565A7,,400565A7,1074095527,,,,METERFARM,-3:00/NoDST,
